Species,Model,kap,v,z,p_Am,p_M,E_G,s_M,L_b,L_m,L_j,L_i,L_p,l_i,n_HE,n_OE,n_NE,n_CX,n_HX,n_OX,n_NX,n_CV,n_HV,n_OV,n_NV,n_CE,n_CP,n_HP,n_OP,n_NP,eta_PA,eta_XA,eta_VG,k_J,kap_R,E_Hb,E_Hp,E_Hj,n_NN,n_CN,n_HN,n_ON,mu_E,T_A,T_ref,p_T,L_s,L_x
Haliclona_oculata,std,0.98229,0.060315,3.7315,81.1027349866129,21.3497,1532.3818,1,0.092894131381524,3.7315,NaN,3.7315,0.794371204535562,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.60277741853022e-06,0.002,0.475,0.02261,17.94,NaN,1,0,3,0,550000,4000,293.15,0,NaN,NaN
Actinia_equina,std,0.9,0.019932,2.1407,42.9471991111111,18.056,2097.2965,1,0.0355332236095889,2.1407,NaN,2.1407,0.535334540483291,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.59992781781322e-06,0.0025803,0.95,0.01058,45.98,NaN,1,0,3,0,550000,8000,293.15,0,NaN,NaN
Metridium_senile,std,0.99629,0.029799,3.8696,81.0344242740568,20.8636,522.8644,1,0.0232558366232536,3.8696,NaN,3.8696,0.376733101483841,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.60045335594087e-06,0.002,0.95,2.509e-05,0.1516,NaN,1,0,3,0,550000,8000,293.15,0,NaN,NaN
Ptilosarcus_gurneyi,std,0.9,0.013775,5.2863,7.57937946666667,1.2904,524.3431,1,0.0349713153775272,5.2863,NaN,5.2863,2.05901038747676,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.59593991735947e-06,0.002,0.95,0.002495,559.5,NaN,1,0,3,0,550000,8000,293.15,0,NaN,NaN
Chironex_fleckeri,abj,0.48865,0.0064413,0.19566,48.4148087138033,120.9133,521.8937,37.3412879037881,0.0400570733997391,0.19566,1.49578271040283,7.30619639125518,1.89832425735871,37.3412879037881,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.60343013085233e-06,0.002,0.95,0.0795,6570,5511,1,0,3,0,550000,8000,293.15,0,NaN,NaN
Hydra_viridissima,stf,0.5926,0.042266,0.084737,17.971322099055,125.6807,522.5148,1,0.0215967583527962,0.084737,NaN,0.084737,0.0416471600452753,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.60152417440043e-06,0.002,0.95,0.003949,0.04842,NaN,1,0,3,0,550000,8000,293.15,0,NaN,NaN
Pelagia_noctiluca,abj,0.56812,0.018466,0.5728,162.744082799409,161.4144,261.2661,3.29382564345071,0.015248909503202,0.5728,0.050227249156306,1.88670332856857,1.09046732928489,3.29382564345071,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.60147084463313e-06,0.002,0.95,0.000984,4383,0.03887,1,0,3,0,550000,11270,293.15,0,NaN,NaN
Cyanea_capillata,abj,0.4,0.0577,3.7236,242.3821566,26.0374,521.9487,12.4346997067011,0.091165944142449,3.7236,1.13362113888924,46.3018478278721,2.42615555580629,12.4346997067011,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.60326117045987e-06,0.002,0.95,0.6327,11820,1256,1,0,3,0,550000,8000,293.15,0,NaN,NaN
Cassiopea_xamachana,abj,0.975,0.022986,0.19045,24.7604728666667,126.7601,525.3334,34.9941311074758,0.00583272299277504,0.19045,0.204111073122758,6.66463226941876,1.45985465943297,34.9941311074758,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.59293142922572e-06,0.002,0.95,2.827e-06,66.96,0.1253,1,0,3,0,550000,8000,293.15,0,NaN,NaN
Rhizostoma_octopus,abj,0.75828,0.030257,0.57482,19.226238658543,25.3625,521.8491,91.5833758138345,0.00594670095525142,0.57482,0.544618948437279,52.6439560853083,6.25119557608746,91.5833758138345,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1.8,0.5,0.15,1,1,1.8,0.5,0.15,2.60416666666667e-07,2.38095238095238e-06,1.60356716852057e-06,0.002,0.95,3.534e-05,48000,27.39,1,0,3,0,550000,8000,293.15,0,NaN,NaN
