Species;tissue;element;model;temp_(°C);Mass_(g);t_1/2_(d);type
Ancistrus_triradiatus;muscle;N;no;23,5;2,64;18,2;ectotherm
Apostichopus_japonicus;muscle;C;no;17;5,14;21,4;ectotherm
Apostichopus_japonicus;muscle;C;no;17;15,3;54,2;ectotherm
Apostichopus_japonicus;muscle;C;no;17;36,4;65,4;ectotherm
Apostichopus_japonicus;muscle;C;no;17;78,4;105;ectotherm
Aquarius_remigis;whole body;C;no;20;0,0108;1,5;ectotherm
Aquarius_remigis;whole body;N;no;20;0,0108;7,8;ectotherm
Bos_primigenius_Holstein;muscle;C;stx;38,5;493000;151;endotherm
Bos_primigenius_Holstein;muscle;N;stx;38,5;493000;157;endotherm
Bos_primigenius_Holstein;muscle;S;stx;38,5;493000;219;endotherm
Bufo_bufo;muscle;C;std;20;1;9,2;ectotherm
Bufo_bufo;muscle;N;std;20;1;16,4;ectotherm
Bufo_bufo;muscle;N;std;20;1;24;ectotherm
Bufo_bufo;muscle;N;std;20;1;14,5;ectotherm
Bufo_bufo;muscle;N;std;20;1;12,6;ectotherm
Bufo_bufo;muscle;N;std;20;1;17,7;ectotherm
Bufo_bufo;muscle;N;std;20;1;15,5;ectotherm
Caiman_latirostris;muscle;C;std;11;340;19;ectotherm
Caiman_latirostris;muscle;N;std;11;340;43;ectotherm
Carcharhinus_plumbeus;muscle;C;stf;23,5;11300;155,2;ectotherm
Carcharhinus_plumbeus;muscle;N;stf;23,5;11300;92,4;ectotherm
Clupea_pallasii;muscle;N;abj;10,6;47;46,2;ectotherm
Coregonus_nasus;muscle;C;abj;10;26;101,9;ectotherm
Coregonus_nasus;muscle;N;abj;10;26;101,9;ectotherm
Coregonus_nasus;muscle;S;abj;10;26;110;ectotherm
Coturnix_japonica;muscle;C;std;40;202;10;endotherm
Ctenopharyngodon_idella;muscle;C;abj;20;50;52,7;ectotherm
Danio_rerio;muscle;C;abj;28,5;0,28;53;ectotherm
Danio_rerio;muscle;N;abj;28,5;0,28;147;ectotherm
Danio_rerio;muscle;S;abj;28,5;0,28;58;ectotherm
Deroceras_reticulatum;whole body;N;no;17;0,322;19,3;ectotherm
Dicentrarchus_labrax;muscle;C;abj;10;8;157,5;ectotherm
Dicentrarchus_labrax;muscle;N;abj;10;8;49,5;ectotherm
Dicentrarchus_labrax;muscle;N;abj;10;8;32,2;ectotherm
Elimia_proxima;whole body;N;std;12,4;0,1;69;ectotherm
Euphausia_superba;whole body;C;std;1,5;0,01;30,4;ectotherm
Euphausia_superba;whole body;N;std;1,5;0,01;25;ectotherm
Folsomia_candida;whole body;C;abj;20;0,00125;7,3;ectotherm
Folsomia_candida;whole body;C;abj;20;0,00125;8,4;ectotherm
Folsomia_candida;whole body;C;abj;20;0,00125;4,4;ectotherm
Folsomia_candida;whole body;C;abj;20;0,00125;4,3;ectotherm
Folsomia_candida;whole body;N;abj;20;0,00125;8;ectotherm
Folsomia_candida;whole body;N;abj;20;0,00125;9;ectotherm
Folsomia_candida;whole body;N;abj;20;0,00125;4,6;ectotherm
Folsomia_candida;whole body;N;abj;20;0,00125;3,7;ectotherm
